,sentiment,partisan_lean,state,Age.Percent Under 5 Years,Age.Percent Under 18 Years,Age.Percent 65 and Older,Miscellaneous.Percent Female,Ethnicities.White Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,date,state percent vaccinated,state_rate_0,state_rate-7,state_rate+7,state_rate+14,US percent vaccinated,US_rate_0,US_rate-7,US_rate+7,US_rate+14,lottery
65,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-05,57.74,3846.0,4890.0,3998.0,4012.0,52.92,2882.0,3569.0,3111.0,2420.0,True
86,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-05,56.49,3594.0,5626.0,4078.0,4612.0,52.92,2882.0,3569.0,3111.0,2420.0,True
93,-0.8749999999999998,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-05,57.34,3574.0,7058.0,5236.0,5104.0,52.92,2882.0,3569.0,3111.0,2420.0,True
96,0.1363636363636363,0.5551849015171975,New Mexico,5.8,22.7,18.0,50.5,81.9,2.6,49.3,27.3,2021-06-05,,139.0,139.0,20815.0,4724.0,52.92,2882.0,3569.0,3111.0,2420.0,True
97,0.7125,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-05,57.34,3574.0,7058.0,5236.0,5104.0,52.92,2882.0,3569.0,3111.0,2420.0,True
102,0.0314814814814814,0.440733912504179,South Carolina,5.7,21.6,18.2,51.6,68.6,27.0,6.0,28.1,2021-06-05,41.38,2445.0,2478.0,2174.0,2734.0,52.92,2882.0,3569.0,3111.0,2420.0,0
103,-0.1,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-05,57.34,3574.0,7058.0,5236.0,5104.0,52.92,2882.0,3569.0,3111.0,2420.0,True
104,0.0,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-06-05,44.93,2636.0,3974.0,3667.0,3856.0,52.92,2882.0,3569.0,3111.0,2420.0,0
105,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-05,56.49,3594.0,5626.0,4078.0,4612.0,52.92,2882.0,3569.0,3111.0,2420.0,True
110,0.0,0.4250657174436865,Kansas,6.4,24.0,16.3,50.2,86.3,6.1,12.2,33.4,2021-06-05,47.13,1288.0,2912.0,2280.0,2132.0,52.92,2882.0,3569.0,3111.0,2420.0,0
113,0.2,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-05,56.49,3594.0,5626.0,4078.0,4612.0,52.92,2882.0,3569.0,3111.0,2420.0,True
115,0.6,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-05,57.34,3574.0,7058.0,5236.0,5104.0,52.92,2882.0,3569.0,3111.0,2420.0,True
128,0.4,0.5141355934440947,Michigan,5.7,21.5,17.7,50.7,79.2,14.1,5.3,29.1,2021-06-05,49.14,1739.0,3840.0,3159.0,3496.0,52.92,2882.0,3569.0,3111.0,2420.0,0
129,-0.4,0.4180495199255704,Indiana,6.2,23.3,16.1,50.7,84.8,9.9,7.3,26.5,2021-06-05,42.27,2154.0,3319.0,2464.0,3446.0,52.92,2882.0,3569.0,3111.0,2420.0,0
